dataset	url	local_path	bytes	sha256	role
GSE197268	https://drive.usercontent.google.com/download?id=1nmWoNKaJF8Rcj1NL_n8XPjL57hylFjEY&export=download&confirm=t	data/raw/GSE197268/Fig1_CART_global_obs.csv	59018996	9671ec215a2897a4bbc5283500f334a90f192d720aa007108452ca6bee249c83	author-quality-controlled global cell metadata; Google Drive file ID 1nmWoNKaJF8Rcj1NL_n8XPjL57hylFjEY
GSE197268	https://drive.usercontent.google.com/download?id=1qcG_CQ86jiVg_QA6bpeHY_Dk4c5MlnUy&export=download&confirm=t	data/raw/GSE197268/Fig2_ALLT_CD_classifications.txt	6560656	9230a1c99ab1bfa13a1f77d598ba6ab77e6ac400ce7c03c1450d8ccaf4a95f88	author CD4/CD8 T-cell subtype annotation; Google Drive file ID 1qcG_CQ86jiVg_QA6bpeHY_Dk4c5MlnUy
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5911nnn/GSM5911994/suppl/GSM5911994_Patient7-D7-CART.tar.gz	data/raw/GSE197268/GSM5911994_Patient7-D7-CART.tar.gz	32945289	4c07047032bce618d6b3b70be709be1f8f971068acf4e965ec1c5b75952cada1	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5911nnn/GSM5911995/suppl/GSM5911995_Patient7-Infusion.tar.gz	data/raw/GSE197268/GSM5911995_Patient7-Infusion.tar.gz	8043148	6f273600a888d8e9f74fc2751439a6dfc9efe39fea6be34a0f374c49e0c4f007	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5911nnn/GSM5911998/suppl/GSM5911998_Patient8-Infusion.tar.gz	data/raw/GSE197268/GSM5911998_Patient8-Infusion.tar.gz	13451240	574a466f0b8929f6fe5fb9eb1898f1e372d617226555f60c974f1bbad9b2d333	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5911nnn/GSM5911999/suppl/GSM5911999_Patient8-D7-CART.tar.gz	data/raw/GSE197268/GSM5911999_Patient8-D7-CART.tar.gz	11035382	af0b20e4ffce804425dfa922753120b3bd9f66e188bae6999bf02b9b3d43e21f	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912002/suppl/GSM5912002_Patient9-Infusion.tar.gz	data/raw/GSE197268/GSM5912002_Patient9-Infusion.tar.gz	44091229	a2d56ac86f6638b59be5b5214e704413e36fde38b0daa458c1cb4a62371c0dd6	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912003/suppl/GSM5912003_Patient9-D7-CART.tar.gz	data/raw/GSE197268/GSM5912003_Patient9-D7-CART.tar.gz	6346484	2fa45ca581d3fd6fb688feabf85428651e80c7deb0df0a674eeda1e63dcbaf4c	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912024/suppl/GSM5912024_Patient15-D7-CART.tar.gz	data/raw/GSE197268/GSM5912024_Patient15-D7-CART.tar.gz	8373947	db4218708b17eacb9c6c48744a16c56356f4e2e336e31398babf69e1e1fa2fb0	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912026/suppl/GSM5912026_Patient15-Infusion.tar.gz	data/raw/GSE197268/GSM5912026_Patient15-Infusion.tar.gz	5172691	69c6c69bc8aac85733fc74e34b33e5ea9737c2b6a48c0caa6b554267119efa22	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912027/suppl/GSM5912027_Patient16-D7-CART.tar.gz	data/raw/GSE197268/GSM5912027_Patient16-D7-CART.tar.gz	15261976	32afc0462ef32210082a2bbc26a5fecde5555f68c04273b32c751965243c4341	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912028/suppl/GSM5912028_Patient16-Infusion.tar.gz	data/raw/GSE197268/GSM5912028_Patient16-Infusion.tar.gz	6264225	52d7297f03d8bdce80dea4e29d2e1cbbf62d198242dbb288b12edf46b714ac07	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912067/suppl/GSM5912067_Patient26-Infusion.tar.gz	data/raw/GSE197268/GSM5912067_Patient26-Infusion.tar.gz	38380646	59b043c243ffce531e1059296916b6cb8d17e1ec565c04a1ee37d1ee7d8f5838	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912068/suppl/GSM5912068_Patient26-D7-CART.tar.gz	data/raw/GSE197268/GSM5912068_Patient26-D7-CART.tar.gz	16045089	0c0a537ce9dd1549601d5f81d8370515fcbb7d395360e2bf3e69037ddd497a51	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912070/suppl/GSM5912070_Patient27-D7-CART.tar.gz	data/raw/GSE197268/GSM5912070_Patient27-D7-CART.tar.gz	43296838	42cc8c0ecd633e941ac58627179f7e5a66fd6783b39d514c4dae2d9d24116a14	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912071/suppl/GSM5912071_Patient27-Infusion.tar.gz	data/raw/GSE197268/GSM5912071_Patient27-Infusion.tar.gz	142249078	3662ae92a0cc35e208094c50b7cb00453625909851c3ef09163f79cad68bf25d	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912076/suppl/GSM5912076_Patient29-Infusion.tar.gz	data/raw/GSE197268/GSM5912076_Patient29-Infusion.tar.gz	57781048	6e255f514efb7a10873a15d131386ce5517bfa71a31c60c9c62f8aece22c0533	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912078/suppl/GSM5912078_Patient29-D7-CART.tar.gz	data/raw/GSE197268/GSM5912078_Patient29-D7-CART.tar.gz	13809865	6ab0bd02274d56a71d14e626ce1e22af6eb4f1f642c48b16a86fecee89e60721	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912089/suppl/GSM5912089_Patient32-Infusion.tar.gz	data/raw/GSE197268/GSM5912089_Patient32-Infusion.tar.gz	127259367	d9104d3c74167804bf3f69cfe6a98d5088d013eccbc94d71af04d49812fe3d19	GEO processed 10x integer-count bundle
GSE197268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5912nnn/GSM5912090/suppl/GSM5912090_Patient32-D7-CART.tar.gz	data/raw/GSE197268/GSM5912090_Patient32-D7-CART.tar.gz	36153652	cda04cbe7f02ea7231441dcb3e292c3977a751c19535e3b42d9bb353872f4f2e	GEO processed 10x integer-count bundle
GSE162975	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162975/suppl/GSE162975_CART_BALL_UMI.csv.gz	data/raw/GSE162975/GSE162975_CART_BALL_UMI.csv.gz	34590760	6de66da05f426a179ed0caab3eb882698f7617db21508e82f1a690509a283d8d	sequence-validated CAR-T dense gene-by-cell UMI matrix
GSE162975	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162975/suppl/GSE162975_readme_singlecells_barcodes.txt	data/raw/GSE162975/GSE162975_readme_singlecells_barcodes.txt	2417	a55ef729baa262caa36e27574d436ca35b4350a8a1c89813dbc77977973e9a8e	deposited cell-barcode description
GSE235760	https://datasets.cellxgene.cziscience.com/2aad61a0-31b8-41f5-8b8a-dbd971269f7b.h5ad	data/raw/GSE235760/2aad61a0-31b8-41f5-8b8a-dbd971269f7b.h5ad	208035465	e8261936016d8a4110403d997208c06c62541ecda5f5cb75ae862775689759f1	author-QC CELLxGENE H5AD with integer UMI counts in raw.X
GSE273170	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE273nnn/GSE273170/suppl/GSE273170_RAW.tar	data/raw/GSE273170/GSE273170_RAW.tar	222033920	9c63c2d8d3b3ce6d1f3e3375ca7c6a121e673024b94be34b63997c81575b6be0	GEO archive of processed dense gene-by-cell RNA matrices
