patient	phase	n_cells	gene	positive_cells	fraction_positive	total_umis
CLL-1	Early	6722	CCR5	1068	0.15888129	1233
CLL-1	Early	6722	CCR7	21	0.0031240702	23
CLL-1	Early	6722	CX3CR1	2140	0.31835763	3465
CLL-1	Early	6722	CXCR3	2617	0.38931866	3908
CLL-1	Early	6722	CXCR4	4649	0.69160964	11801
CLL-1	Early	6722	CXCR6	1339	0.19919667	1702
CLL-1	IP	5515	CCR5	776	0.14070716	949
CLL-1	IP	5515	CCR7	223	0.040435177	342
CLL-1	IP	5515	CX3CR1	119	0.021577516	140
CLL-1	IP	5515	CXCR3	4560	0.8268359	15274
CLL-1	IP	5515	CXCR4	1999	0.362466	3990
CLL-1	IP	5515	CXCR6	466	0.084496827	733
CLL-1	Late	4920	CCR5	245	0.049796748	253
CLL-1	Late	4920	CCR7	6	0.0012195122	7
CLL-1	Late	4920	CX3CR1	1580	0.32113821	2465
CLL-1	Late	4920	CXCR3	905	0.18394309	1199
CLL-1	Late	4920	CXCR4	1967	0.39979675	3596
CLL-1	Late	4920	CXCR6	360	0.073170732	411
CLL-1	Very late	1736	CCR5	3	0.0017281106	3
CLL-1	Very late	1736	CCR7	3	0.0017281106	4
CLL-1	Very late	1736	CX3CR1	30	0.017281106	31
CLL-1	Very late	1736	CXCR3	400	0.23041475	508
CLL-1	Very late	1736	CXCR4	1169	0.6733871	2866
CLL-1	Very late	1736	CXCR6	37	0.021313364	38
CLL-2	Early	6271	CCR5	468	0.074629246	500
CLL-2	Early	6271	CCR7	18	0.0028703556	18
CLL-2	Early	6271	CX3CR1	450	0.07175889	502
CLL-2	Early	6271	CXCR3	1855	0.29580609	2697
CLL-2	Early	6271	CXCR4	4650	0.74150853	11693
CLL-2	Early	6271	CXCR6	1643	0.26199968	2204
CLL-2	IP	1763	CCR5	178	0.10096427	231
CLL-2	IP	1763	CCR7	316	0.17923993	778
CLL-2	IP	1763	CX3CR1	12	0.0068065797	13
CLL-2	IP	1763	CXCR3	1465	0.83096994	5019
CLL-2	IP	1763	CXCR4	868	0.4923426	2078
CLL-2	IP	1763	CXCR6	199	0.11287578	326
CLL-2	Late	4287	CCR5	254	0.059248892	268
CLL-2	Late	4287	CCR7	8	0.0018661068	8
CLL-2	Late	4287	CX3CR1	1903	0.44390016	3063
CLL-2	Late	4287	CXCR3	801	0.18684395	986
CLL-2	Late	4287	CXCR4	3003	0.70048985	7430
CLL-2	Late	4287	CXCR6	535	0.12479589	640
CLL-2	Very late	669	CCR5	5	0.0074738416	5
CLL-2	Very late	669	CCR7	3	0.0044843049	4
CLL-2	Very late	669	CX3CR1	24	0.035874439	24
CLL-2	Very late	669	CXCR3	43	0.064275037	54
CLL-2	Very late	669	CXCR4	554	0.82810164	2154
CLL-2	Very late	669	CXCR6	28	0.041853513	30
NHL-6	Early	6117	CCR5	1125	0.18391368	1333
NHL-6	Early	6117	CCR7	8	0.0013078306	8
NHL-6	Early	6117	CX3CR1	3243	0.53016184	6049
NHL-6	Early	6117	CXCR3	2589	0.42324669	4396
NHL-6	Early	6117	CXCR4	4021	0.65734837	8987
NHL-6	Early	6117	CXCR6	1779	0.29082884	2644
NHL-6	IP	4134	CCR5	830	0.20077407	1110
NHL-6	IP	4134	CCR7	145	0.035074988	375
NHL-6	IP	4134	CX3CR1	38	0.0091920658	40
NHL-6	IP	4134	CXCR3	2192	0.53023706	6059
NHL-6	IP	4134	CXCR4	1729	0.41823899	3519
NHL-6	IP	4134	CXCR6	844	0.20416062	1952
NHL-6	Late	6488	CCR5	446	0.068742293	473
NHL-6	Late	6488	CCR7	4	0.00061652281	4
NHL-6	Late	6488	CX3CR1	3853	0.5938656	7949
NHL-6	Late	6488	CXCR3	1356	0.20900123	1741
NHL-6	Late	6488	CXCR4	2184	0.33662145	3566
NHL-6	Late	6488	CXCR6	1236	0.19050555	1694
NHL-6	Very late	5023	CCR5	11	0.0021899263	11
NHL-6	Very late	5023	CCR7	6	0.0011945053	7
NHL-6	Very late	5023	CX3CR1	161	0.032052558	175
NHL-6	Very late	5023	CXCR3	145	0.028867211	150
NHL-6	Very late	5023	CXCR4	3417	0.68027075	9250
NHL-6	Very late	5023	CXCR6	175	0.034839737	188
NHL-7	Early	2459	CCR5	442	0.17974786	554
NHL-7	Early	2459	CCR7	5	0.0020333469	5
NHL-7	Early	2459	CX3CR1	1277	0.5193168	2432
NHL-7	Early	2459	CXCR3	1185	0.48190321	2629
NHL-7	Early	2459	CXCR4	1496	0.60837739	3482
