patient	phase	n_cells	module	genes	detected_gene_cell_pairs	possible_gene_cell_pairs	mean_marker_detection_fraction
CLL-1	Early	6722	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	6646	47054	0.14124198
CLL-1	Early	6722	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	34645	40332	0.85899534
CLL-1	Early	6722	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	17453	40332	0.43273331
CLL-1	IP	5515	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	12301	38605	0.31863748
CLL-1	IP	5515	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	25424	33090	0.7683288
CLL-1	IP	5515	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	9235	33090	0.27908734
CLL-1	Late	4920	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	3636	34440	0.10557491
CLL-1	Late	4920	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	21903	29520	0.74197154
CLL-1	Late	4920	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	8860	29520	0.3001355
CLL-1	Very late	1736	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	704	12152	0.057932851
CLL-1	Very late	1736	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	6309	10416	0.60570276
CLL-1	Very late	1736	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	1449	10416	0.1391129
CLL-2	Early	6271	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	7178	43897	0.16351915
CLL-2	Early	6271	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	30904	37626	0.82134694
CLL-2	Early	6271	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	9328	37626	0.24791368
CLL-2	IP	1763	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	5028	12341	0.40742241
CLL-2	IP	1763	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	8306	10578	0.7852146
CLL-2	IP	1763	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	2885	10578	0.27273587
CLL-2	Late	4287	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	4874	30009	0.16241794
CLL-2	Late	4287	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	21358	25722	0.83033979
CLL-2	Late	4287	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	7393	25722	0.28741933
CLL-2	Very late	669	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	659	4683	0.14072176
CLL-2	Very late	669	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	2975	4014	0.74115595
CLL-2	Very late	669	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	627	4014	0.15620329
NHL-6	Early	6117	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	5499	42819	0.1284243
NHL-6	Early	6117	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	32002	36702	0.87194158
NHL-6	Early	6117	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	16684	36702	0.45458013
NHL-6	IP	4134	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	8965	28938	0.30980026
NHL-6	IP	4134	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	18250	24804	0.73576842
NHL-6	IP	4134	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	9974	24804	0.40211256
NHL-6	Late	6488	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	4771	45416	0.10505108
NHL-6	Late	6488	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	32264	38928	0.82881217
NHL-6	Late	6488	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	13122	38928	0.33708385
NHL-6	Very late	5023	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	1969	35161	0.055999545
NHL-6	Very late	5023	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	20426	30138	0.67774902
NHL-6	Very late	5023	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	3871	30138	0.1284425
NHL-7	Early	2459	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	1664	17213	0.096671121
NHL-7	Early	2459	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	13010	14754	0.88179477
NHL-7	Early	2459	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	7232	14754	0.49017216
NHL-7	IP	3484	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	8071	24388	0.33094145
NHL-7	IP	3484	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	12754	20904	0.61012246
NHL-7	IP	3484	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	5787	20904	0.27683697
NHL-7	Late	2382	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	1091	16674	0.06543121
NHL-7	Late	2382	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	11493	14292	0.80415617
NHL-7	Late	2382	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	4030	14292	0.28197593
NHL-7	Very late	197	Memory-associated	CCR7;IL7R;LEF1;LTB;MAL;SELL;TCF7	147	1379	0.10659898
NHL-7	Very late	197	Effector-associated	CCL5;GNLY;GZMB;IFNG;NKG7;PRF1	780	1182	0.65989848
NHL-7	Very late	197	Dysfunction-associated	ENTPD1;HAVCR2;LAG3;PDCD1;TIGIT;TOX	164	1182	0.13874788
