Patient	Group	n_cells	cxcr6_positive_cells	cxcr6_umis	total_umis	cxcr6_detected_fraction	cxcr6_counts_per_million_umis
CLL-1	IP	5515	466	733	47463145	0.084496827	15.443562
CLL-1	Early	6722	1339	1702	33645468	0.19919667	50.586308
CLL-1	Late	4920	360	411	16813695	0.073170732	24.444359
CLL-1	Very late	1736	37	38	4787250	0.021313364	7.9377513
CLL-2	IP	1763	199	326	16111488	0.11287578	20.234009
CLL-2	Early	6271	1643	2204	35673960	0.26199968	61.781759
CLL-2	Late	4287	535	640	20277723	0.12479589	31.561729
CLL-2	Very late	669	28	30	2596386	0.041853513	11.554522
NHL-6	IP	4134	844	1952	43533811	0.20416062	44.838712
NHL-6	Early	6117	1779	2644	32090140	0.29082884	82.392909
NHL-6	Late	6488	1236	1694	27023910	0.19050555	62.685229
NHL-6	Very late	5023	175	188	16812587	0.034839737	11.182098
NHL-7	IP	3484	387	821	28983808	0.11107922	28.326161
NHL-7	Early	2459	601	861	17903194	0.2444083	48.091977
NHL-7	Late	2382	150	174	9285423	0.062972292	18.739049
NHL-7	Very late	197	6	6	650106	0.030456853	9.2292642
