analysis_group	donor_id	cell_type	n	n_t_cells	fraction_of_t_cells
ICANS onset	ICANS1	CD8	9	31	0.29032258
ICANS onset	ICANS1	GZMAhi CD4	11	31	0.35483871
ICANS onset	ICANS1	GZMAlo CD4	7	31	0.22580645
ICANS onset	ICANS1	Proliferating	4	31	0.12903226
ICANS onset	ICANS2	CD8	462	1908	0.24213836
ICANS onset	ICANS2	GZMAhi CD4	712	1908	0.37316562
ICANS onset	ICANS2	GZMAlo CD4	573	1908	0.30031447
ICANS onset	ICANS2	Proliferating	161	1908	0.084381551
ICANS onset	ICANS3	CD8	94	572	0.16433566
ICANS onset	ICANS3	GZMAhi CD4	227	572	0.39685315
ICANS onset	ICANS3	GZMAlo CD4	234	572	0.40909091
ICANS onset	ICANS3	Proliferating	17	572	0.02972028
ICANS onset	ICANS4	CD8	51	463	0.11015119
ICANS onset	ICANS4	GZMAhi CD4	185	463	0.39956803
ICANS onset	ICANS4	GZMAlo CD4	197	463	0.42548596
ICANS onset	ICANS4	Proliferating	30	463	0.064794816
ICANS onset	ICANS5	CD8	340	1227	0.27709861
ICANS onset	ICANS5	GZMAhi CD4	383	1227	0.31214344
ICANS onset	ICANS5	GZMAlo CD4	492	1227	0.400978
ICANS onset	ICANS5	Proliferating	12	1227	0.0097799511
IIH comparator	IIH1	CD8	235	1207	0.1946976
IIH comparator	IIH1	GZMAhi CD4	276	1207	0.22866611
IIH comparator	IIH1	GZMAlo CD4	695	1207	0.57580779
IIH comparator	IIH1	Proliferating	1	1207	0.00082850041
IIH comparator	IIH2	CD8	201	957	0.21003135
IIH comparator	IIH2	GZMAhi CD4	221	957	0.23092999
IIH comparator	IIH2	GZMAlo CD4	534	957	0.55799373
IIH comparator	IIH2	Proliferating	1	957	0.0010449321
IIH comparator	IIH3	CD8	138	746	0.1849866
IIH comparator	IIH3	GZMAhi CD4	168	746	0.22520107
IIH comparator	IIH3	GZMAlo CD4	440	746	0.58981233
IIH comparator	IIH4	CD8	33	195	0.16923077
IIH comparator	IIH4	GZMAhi CD4	54	195	0.27692308
IIH comparator	IIH4	GZMAlo CD4	107	195	0.54871795
IIH comparator	IIH4	Proliferating	1	195	0.0051282051
