cell_id	sample_id	patient_id	section_id	timepoint_id	compartment	modality	t_cell_origin	car_positive	cell_state	t_cell_subtype	annotation_version	car_gate_version	CCL5_RNA_count	CXCR3_RNA_count	CXCR3_ADT_count	data_origin
SYNTH_P01_PRODUCT_PRODUCT_C001	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	20	0	20	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C002	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	16	5	23	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C003	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	19	15	13	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C004	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	2	6	10	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C005	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	10	6	7	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C006	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	15	8	30	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C007	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	1	17	16	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C008	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	20	11	31	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C009	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	1	12	0	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C010	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	13	9	20	synthetic
