cell_id	sample_id	patient_id	section_id	timepoint_id	x	y	cell_type	is_ligand_source	is_car_t	structure	chemokine	chemokine_signal	data_origin
SYNTH_SP_CELL001	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	686.112761	244.667476	endothelial	true	false	vessel	CXCL9	7.748522	synthetic
SYNTH_SP_CELL002	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	130.350844	514.569591	fibroblast	true	false	stroma	CXCL10	0.400718	synthetic
SYNTH_SP_CELL003	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	533.419179	365.836958	tumor	false	false	tumor_nest	CXCL12	4.564250	synthetic
SYNTH_SP_CELL004	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	231.486163	599.250865	CAR_T	false	true		CXCL16	7.808910	synthetic
SYNTH_SP_CELL005	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	729.580985	660.224035	endothelial	true	false	stroma	CXCL9	7.411029	synthetic
SYNTH_SP_CELL006	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	763.613666	471.016726	fibroblast	true	false	tumor_nest	CXCL10	3.351011	synthetic
SYNTH_SP_CELL007	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	47.229694	3.625631	tumor	false	false	vessel	CXCL12	3.886533	synthetic
SYNTH_SP_CELL008	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	512.088176	324.740158	CAR_T	false	true		CXCL16	3.543425	synthetic
SYNTH_SP_CELL009	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	359.938516	285.515352	endothelial	true	false	tumor_nest	CXCL9	9.943193	synthetic
SYNTH_SP_CELL010	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	584.288723	11.349070	fibroblast	true	false	vessel	CXCL10	9.428791	synthetic
SYNTH_SP_CELL011	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	197.170742	519.883139	tumor	false	false	stroma	CXCL12	6.302873	synthetic
SYNTH_SP_CELL012	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	251.600224	9.343387	CAR_T	false	true		CXCL16	0.425414	synthetic
